Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum height,Flower Colour,Hazard,Attracted animals,Native habitat,Leaf Colour,Leaf Area Index,Growth rate,Trunk Texture,Trunk Colour,Leaf Texture,Maximum Height
Acacia podalyriifolia,-,3485,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3485,Tree,-,-,False,False,False,None,-,-,-,-,-,-,-,Fast,-,-,-
Acalypha aristata Kunth,Field Copperleaf,5740,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5740,Herbaceous Plant,-,-,False,False,False,-,-,-,-,-,-,Green,4.5 (Shrub & Groundcover - Dicot),-,None,None,Green,-
Acalypha chamaedrifolia (Lam.) Müll.Arg.,Red Cat's Tail,1587,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1587,Herbaceous Plant,-,-,False,False,False,-,-,Red,-,-,Terrestrial,"Green, Green",4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Hairy / Hirsute,-
Acalypha godseffiana 'Heterophylla',Copper Leaf,1585,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1585,Shrub,-,-,False,False,False,-,-,White,-,-,-,"Green, Red, Pink, Green, Pink",4.5 (Shrub & Groundcover - Dicot),Fast,None,None,Smooth,-
Acalypha hispida Burm.f.,Chenille Plant,1586,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1586,Shrub,-,-,False,False,False,-,-,Red,-,-,Terrestrial,"Green, Green",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Smooth,-
Acalypha indica L.,Copperleaf,5964,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5964,Herbaceous Plant,-,-,False,False,False,-,-,Green,-,-,Terrestrial,Green,-,-,None,None,Velvety / Furry / Tomentose,-
Acalypha siamensis,Tumput,1588,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1588,Shrub,-,-,False,False,False,-,-,Green,-,-,Terrestrial,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Green,-
Acalypha siamensis (Variegated Leaf),-,1589,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1589,Shrub,-,-,False,False,False,-,-,Green - Light Green,-,-,Terrestrial,"Green, Yellow / Golden, White",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Green, Yellow / Golden, White",-
Acalypha wilkesiana 'Hoffmannii',Jacob's Coat 'Hoffmannii',1590,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1590,Shrub,-,-,False,False,False,-,-,Green,-,-,Terrestrial,"Green, Yellow / Golden, White, Green, White, Yellow / Golden",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Green, Yellow / Golden, White",-
Acalypha wilkesiana 'Java White','Java White' Copper Leaf,1591,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1591,Shrub,-,-,False,False,False,-,-,Red,-,-,Terrestrial,"Green, Yellow / Golden, Green - Light Green, Yellow / Golden",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Glossy / Shiny, Smooth",-
Acalypha wilkesiana 'Moorea',WiIkes' AcaIypha,1592,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1592,Shrub,-,-,False,False,False,-,-,Pink,-,-,Terrestrial,"Green, Purple, Red",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Green, Purple, Red",-
Acalypha wilkesiana 'Mosaica',Fire Fiji Plant,1593,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1593,Shrub,-,-,False,False,False,-,-,-,-,-,Terrestrial,"Green, Purple, Red, Orange, Red, Green - Light Green",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Glossy / Shiny, Smooth",-
Acanthophoenix rubra (Bory) H.Wendl.,-,8539,https://www.nparks.gov.sg/florafaunaweb/flora/8/5/8539,Palm,-,-,False,False,False,None,-,-,-,-,-,-,-,Moderate,-,-,-
Acanthus antiquorum,Sesudu,2000,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2000,Herbaceous Plant,-,-,True,False,False,-,-,Pink,-,-,Terrestrial,"Yellow / Golden, Green - Light Green",4.5 (Shrub & Groundcover - Dicot),Fast,None,None,"Smooth, Glossy / Shiny",-
Acanthus ebracteatus (Variegated),Variegated Sea Holly,1595,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1595,"Herbaceous Plant, Shrub",-,-,False,False,False,-,-,White,-,-,"Shoreline (Mangrove Forest, Mudflat)","Green, Yellow / Golden, White",4.5 (Shrub & Groundcover - Dicot),-,None,None,"Green, Yellow / Golden, White",-
Acanthus ebracteatus Vahl,Sea Holly,1594,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1594,Shrub,-,-,False,True,False,-,-,White,-,-,Shoreline (Mangrove Forest),Green,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Smooth, Glossy / Shiny",-
Acanthus ilicifolius L.,Mangrove HoIIy,3487,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3487,Shrub,-,-,False,True,False,-,-,"Purple, White",-,Bird-Attracting (Flowers),-,Green - Light Green,-,-,None,None,Smooth,-
Acanthus mollis,Bear's Breeches,4898,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4898,Herbaceous Plant,-,-,False,False,False,-,-,"White, Pink",-,-,Terrestrial,"Green, Green",-,Fast,None,None,Glossy / Shiny,-
Acanthus volubilis Wall.,Jeruju,6527,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6527,Shrub,-,-,False,True,False,-,-,White,-,-,Shoreline (Mangrove Forest),Green,-,Fast,None,None,Green,-
Acca sellowiana,Feijoa,4165,https://www.nparks.gov.sg/florafaunaweb/flora/4/1/4165,"Shrub, Tree",-,-,False,False,False,-,-,Red,-,-,Terrestrial,"Green, Silver / Grey",-,Moderate,-,-,"Green, Silver / Grey",-
Achillea sp.,Yarrow,5346,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5346,Shrub,-,-,True,False,False,-,-,White,-,-,Terrestrial,Green,-,Moderate,None,None,Green,-
Achimenes 'Ambrose Verschaffelt',-,7073,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7073,Herbaceous Plant,-,-,False,False,False,-,-,"Purple, Yellow / Golden",-,-,-,Green,-,Moderate,None,None,Green,-
Achimenes 'Orange Delight',-,5681,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5681,Herbaceous Plant,-,-,False,False,False,-,-,"Red, Orange",-,-,-,"Brown, Green, Red",-,Moderate,None,None,"Hairy / Hirsute, Rough",-
Achimenes 'Robert Dressler',-,7070,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7070,Herbaceous Plant,-,-,False,False,False,-,-,Purple,-,-,-,Green,-,Moderate,None,None,Hairy / Hirsute,-
Achyranthes aspera L.,Devil's Horsewhip,5967,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5967,Herbaceous Plant,-,-,False,False,False,-,-,Green,-,-,Terrestrial (Disturbed Area / Open Ground),"Green, Silver / Grey",-,Moderate,None,None,Velvety / Furry / Tomentose,-
Acmella oleracea (L.) R.K.Jansen,Toothache Plant,5201,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5201,Herbaceous Plant,-,-,False,False,False,True,-,"Red, Yellow / Golden",-,-,Terrestrial,Green,-,-,None,None,Green,-
Acmella paniculata (Wall. ex DC.) R.K.Jansen,Toothache Plant,2472,https://www.nparks.gov.sg/florafaunaweb/flora/2/4/2472,Herbaceous Plant,-,-,False,False,False,-,-,Orange,-,-,Terrestrial,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Rough,-
Acmella uliginosa (Sw.) Cass.,沼生金纽扣,5784,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5784,Herbaceous Plant,-,-,False,False,False,-,-,Yellow / Golden,-,-,Terrestrial,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Green,-
Acmena smithii var. minor 'Cherry Surprise',-,5795,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5795,Shrub,-,-,False,False,False,-,-,-,-,-,Terrestrial,"Green, Red",-,Moderate,None,None,Green,-
Acorus calamus L.,Calamus,3491,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3491,-,-,-,False,False,False,None,-,-,-,-,Aquatic (Freshwater Pond / Lake / River),Green,-,-,None,None,Green,-
Acriopsis indica C.Wright,合萼兰,6621,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6621,Epiphyte,-,-,False,False,False,-,-,"White, Yellow / Golden",-,-,Terrestrial,-,-,Moderate,None,None,-
Acriopsis liliifolia (Koen.) Ormerod,-,6484,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6484,Epiphyte,-,-,False,True,False,-,-,"Purple, White",-,-,Terrestrial,-,-,Moderate,None,None,-
Acrostichum aureum L.,Leather Fern,1535,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1535,Herbaceous Plant,-,-,False,True,False,-,-,-,-,-,"Aquatic (Brackish Pond / Lake / River), Shoreline (Mangrove Forest)","Green, Orange",-,Fast to Moderate,None,None,Leathery,-
Acrostichum speciosum Willd.,Mangrove Fern,1536,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1536,Herbaceous Plant,-,-,False,True,False,-,-,-,-,-,Shoreline (Mangrove Forest),Green,-,Moderate,None,None,"Smooth, Glossy / Shiny",-
Acrotrema costatum Jack,Yellow Jungle Star,3739,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3739,"Creeper, Herbaceous Plant, Shrub",-,-,False,False,False,-,-,Yellow / Golden,-,-,"Terrestrial (Secondary Rainforest, Monsoon Forest)","Green, Silver / Grey",4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Velvety / Furry / Tomentose, Raised / Sunken Veins, Thick",-
Actinodaphne macrophylla (Blume) Nees,-,3494,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3494,Tree,-,-,False,True,False,None,-,-,-,-,-,-,-,Moderate,-,-,-
Actinodaphne malaccensis Hook.f.,-,5449,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5449,Tree,-,-,False,True,False,None,-,-,-,-,Terrestrial,-,-,Moderate,-,-,-
Actinorhytis calapparia,Pinang Penawar,3259,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3259,Palm,-,-,False,False,False,None,-,-,-,-,Terrestrial,Green,-,Fast,-,-,Green,-
Actinostachys digitata (L.) Wall.,Grass Fern,1574,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1574,Herbaceous Plant,-,-,False,True,False,-,-,-,-,-,"Terrestrial (Primary Rainforest, Secondary Rainforest, Coastal Forest, Disturbed Area / Open Ground)",Green,-,Fast to Moderate,None,None,Leathery,-
