Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Begonia 'Munchkin',-,7078,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7078,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,-,-,-,-,"Brown, Green",-,-,-,None,None,Coarse
Begonia 'Otto Forster',-,5348,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5348,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,White,-,-,-,"Green, Green - Light Green, Silver / Grey",-,-,-,None,None,Medium
Begonia paleata Schott ex A. DC,-,7118,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7118,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,White,-,-,Terrestrial,Green,-,-,-,None,None,Coarse
Begonia 'Passing Storm',-,7077,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7077,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water, Occasional Misting",False,False,False,False,-,-,-,-,-,"Pink, Purple, Silver / Grey",-,-,-,None,None,Coarse
Begonia 'Queen Olympus',-,5410,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5410,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,"Pink, White",-,-,-,"Green, Silver / Grey",-,-,Moderate,None,None,Medium
Begonia rajah Ridl.,-,6021,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6021,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,"Pink, White",-,-,Terrestrial (Primary Rainforest),"Green, Green - Light Green",-,-,-,None,None,Coarse
Begonia 'Red Bull',-,5642,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5642,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water, Occasional Misting",False,False,False,False,-,-,-,-,-,"Black, Iridescent, Purple, Red",-,-,-,None,None,Coarse
Begonia reniformis Dryand.,Grape leaf Begonia,5464,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5464,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,1.5,White,-,-,Terrestrial,Green,Green,-,-,None,None,Coarse
Begonia rex-cultorum,Rex Begonia,1723,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1723,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,False,0.5,Pink,-,-,-,"Black, Brown, Green, Purple, Red, Silver / Grey",-,-,Moderate,None,None,-
Begonia 'Rocheart',-,7100,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7100,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water, Occasional Misting",False,False,False,False,0.3,-,-,-,-,"Green, Purple, White",-,-,-,None,None,Coarse
Begonia Semperflorens Cultorum Group,Wax begonia,5614,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5614,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water",False,False,False,False,-,"Pink, Red, White",-,-,-,"Black, Brown, Green, Red",-,-,-,None,None,Medium
Begonia 'Silver Leaves',-,5635,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5635,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,-,-,-,-,"Red, Silver / Grey",-,-,-,None,None,Coarse
Begonia 'Silver Queen',-,7117,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7117,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,-,-,-,-,"Green, Silver / Grey",-,-,-,None,None,Coarse
Begonia 'Sinbad',-,6348,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6348,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water, Occasional Misting",False,False,False,False,-,Pink,-,-,-,"Green, Pink, White",-,-,-,None,None,Coarse
Begonia sizemoreae Kiew,-,5677,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5677,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,Pink,-,-,Terrestrial,"Blue, Green, Green - Light Green, Iridescent",-,-,-,None,None,Coarse
Begonia solimutata L.B.Sm. & Wassh.,-,6018,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6018,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,White,-,-,Terrestrial,"Brown, Green, Green - Light Green, Red, Yellow / Golden",-,-,-,None,None,Coarse
Begonia sp. U192 'Martin's Mystery',-,4094,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4094,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,"Pink, White",-,-,Terrestrial,"Iridescent, Pink, Silver / Grey",-,-,-,None,None,Coarse
Begonia sp. U400,-,5459,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5459,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,-,-,-,-,"Green, Silver / Grey","Brown, Green, Red",-,-,None,None,Coarse
Begonia sp. U402,-,6310,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6310,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water, Occasional Misting",False,False,False,False,-,"Pink, White",-,-,-,"Brown, Green",-,-,-,None,None,Coarse
Begonia sp. U484,-,5458,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5458,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,Pink,-,-,-,"Green, Silver / Grey","Brown, Red",-,-,None,None,Coarse
Begonia sp. U497,-,5452,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5452,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,"Pink, White",-,-,-,"Black, Green, Red",-,-,Moderate,None,None,Coarse
Begonia sp. U508,-,6312,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6312,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water, Occasional Misting",False,False,False,False,-,"Pink, White",-,-,-,"Green - Bluish Green, Red, Silver / Grey",-,-,-,None,None,Coarse
Begonia 'Spitfire',-,6056,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6056,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,White,-,-,-,"Green - Light Green, Pink, Silver / Grey","Green, Pink, Purple, Silver / Grey",-,-,None,None,Coarse
Begonia sudjanae C.-A. Jansson,-,5396,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5396,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,White,-,-,Terrestrial,Green,Green,-,Moderate,None,None,Coarse
Begonia thelmae x solimutata,-,5195,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5195,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,White,-,-,-,"Brown, Green, Red",-,-,-,None,None,-
Begonia 'Thurstonii',-,7388,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7388,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,Pink,-,-,-,"Green, Red",-,-,-,None,None,-
Begonia Tuberosa Group,Tuberose Begonia,5573,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5573,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,False,-,"Orange, Pink, Red, White, Yellow / Golden",-,-,-,Green,-,-,-,None,None,Coarse
Begonia 'Venetian Red',-,6058,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6058,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,-,-,-,-,"Brown, Green, Red",-,-,-,None,None,Coarse
Begonia venosa,-,8198,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8198,Herbaceous Plant,Semi Shade,Moderate Water,False,False,False,False,-,White,-,-,-,Silver / Grey,-,-,Fast to Moderate,None,None,-
Begonia 'White Ice',-,6311,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6311,Herbaceous Plant,Semi Shade,"Lots of Water, Moderate Water, Occasional Misting",False,False,False,False,-,Pink,-,-,-,"Green, White",-,-,-,None,None,Coarse
Begonia xanthina J.D.Hooker,黄瓣秋海棠,7284,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7284,Herbaceous Plant,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,-,Yellow / Golden,-,-,Terrestrial,Green,-,-,-,None,None,Coarse
Benincasa hispida (Thunb.) Cogn.,Winter Melon,5878,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5878,Climber,Full Sun,Moderate Water,False,False,True,False,0.5,Yellow / Golden,-,-,Terrestrial,Green,-,-,-,None,None,Coarse
Benstonea affinis (Kurz) Callm. & Buerki,Mengkuang Bunga,6451,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6451,"Shrub, Tree","Full Sun, Semi Shade",Lots of Water,False,True,False,False,5.0,"Orange, Red","Spines/Thorns - Stem/Branch, Spines/Thorns - Leaf",-,"Terrestrial (Primary Rainforest, Freshwater Swamp Forest, Riverine), Shoreline (Mangrove Forest)",Green,-,-,Moderate,-,-,Coarse
Benstonea parva (Ridl.) Callm. & Buerki,-,2300,https://www.nparks.gov.sg/florafaunaweb/flora/2/3/2300,Herbaceous Plant,Semi Shade,Little Water,False,True,False,False,-,-,-,-,Terrestrial,Green,-,3.5 (Shrub & Groundcover - Monocot),-,None,None,-
Bentinckia nicobarica,Bentinck Palm,2598,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2598,Palm,Full Sun,Moderate Water,False,False,False,False,15.0,Cream / Off-White,-,-,-,Green,-,2.5 (Palm - Solitary),Moderate,-,green,None
Bergera koenigii L.,Curry Leaf Tree,2238,https://www.nparks.gov.sg/florafaunaweb/flora/2/2/2238,"Shrub, Tree",Full Sun,Moderate Water,False,False,False,True,2.5,White,-,Butterfly Host Plant,Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,-,-,Coarse
Bertholletia excelsa,Brazil Nut,3277,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3277,Tree,Full Sun,Moderate Water,False,False,True,False,50.0,"Cream / Off-White, Yellow / Golden",-,-,Terrestrial,Green,-,-,Moderate,-,-,None
Beta vulgaris Garden Beet Group,Beetroot,8074,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8074,Herbaceous Plant,Semi Shade,Moderate Water,False,False,True,False,-,"Green, Red",-,-,-,Green,Green,-,-,None,None,Coarse
Beta vulgaris Leaf Beet Group,Leaf Beet,6776,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6776,Herbaceous Plant,Semi Shade,Lots of Water,False,False,True,False,-,Green,-,-,Terrestrial,"Green, Green - Light Green, Yellow / Golden",-,-,-,None,None,Medium
Bhesa paniculata Arn.,Biku-biku,3306,https://www.nparks.gov.sg/florafaunaweb/flora/3/3/3306,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,True,False,35.0,"Cream / Off-White, Purple, Red",-,Bird-Attracting,"Terrestrial (Primary Rainforest, Secondary Rainforest, Freshwater Swamp Forest)",-,-,-,Fast to Moderate,-,-,None
Bhesa robusta (Roxb.) Ding Hou,Red-Flowered Malayan Spindle Tree,3282,https://www.nparks.gov.sg/florafaunaweb/flora/3/2/3282,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,False,False,40.0,Red,-,Bird-Attracting,"Terrestrial (Primary Rainforest, Freshwater Swamp Forest)",Green,-,-,Moderate,-,-,None
Bidens alba (L.) DC.,Shepherd's Needles,3616,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3616,Herbaceous Plant,Full Sun,Moderate Water,False,False,False,False,1.2,"Yellow / Golden, White",-,Butterfly-Attracting (Flower Nectar),Terrestrial (Disturbed Area / Open Ground),Green,Green,-,Fast,None,None,Coarse
Bidens pilosa L.,Beggar's Tick,3312,https://www.nparks.gov.sg/florafaunaweb/flora/3/3/3312,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,True,False,True,False,2.0,"White, Yellow / Golden",Irritant - Sap,"Butterfly-Attracting, Bee-Attracting",Terrestrial (Disturbed Area / Open Ground),Green,-,-,Fast,None,None,Coarse
Bignonia callistegioides Cham.,Violet Trumpet Vine,1376,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1376,Climber,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,-,Pink,-,-,-,Green,-,-,-,None,None,-
Bignonia corymbosa (Vent.) L.G. Lohmann,Trinidad Pink Trumpet Vine,1487,https://www.nparks.gov.sg/florafaunaweb/flora/1/4/1487,Climber,Full Sun,Moderate Water,False,False,False,False,-,Purple,-,-,Terrestrial,Green,-,-,Fast to Moderate,None,None,Medium
Bignonia magnifica,Purple Bignonia,1499,https://www.nparks.gov.sg/florafaunaweb/flora/1/4/1499,Climber,Full Sun,Moderate Water,False,False,False,False,-,Purple,-,-,-,Green,-,-,Fast to Moderate,None,None,-
Billbergia 'Arribella',-,7173,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7173,Herbaceous Plant,"Full Sun, Semi Shade","Little Water, Moderate Water",True,False,False,False,0.5,"Blue, Green",Spines/Thorns - Leaf,-,-,"Cream / Off-White, Green, Purple, Red",-,-,-,None,None,Coarse
Billbergia 'Muchacho',-,7174,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7174,Herbaceous Plant,"Full Sun, Semi Shade","Little Water, Moderate Water",True,False,False,False,0.5,"Green, Purple",Spines/Thorns - Leaf,-,Terrestrial,"Cream / Off-White, Green, Pink, Purple",-,-,-,None,None,Coarse
Billbergia pyramidalis,Foolproof Plant,1726,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1726,"Epiphyte, Herbaceous Plant",Semi Shade,Moderate Water,False,False,False,False,0.5,Red,Spines/Thorns - Leaf,-,Terrestrial,Green,-,3.5 (Shrub & Groundcover - Monocot),-,None,None,Coarse
Bismarckia nobilis Hildebrandt & H.Wendl.,Bismarck Palm,5119,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5119,Palm,Full Sun,Moderate Water,False,False,False,False,30.0,White,-,-,Terrestrial,Green,-,2.5 (Palm - Solitary),Moderate,-,-,None
Bismarckia nobilis 'Silver',Silver Bismarck Palm,2600,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2600,Palm,Full Sun,"Little Water, Moderate Water",True,False,False,False,12.0,Cream / Off-White,-,-,Terrestrial (Grassland / Savannah/ Scrubland),Silver / Grey,-,2.5 (Palm - Solitary),Moderate,Smooth,Grey to tan brown,None
Bixa orellana (Yellow),Yellow Anatto,1728,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1728,Shrub,Full Sun,Moderate Water,False,False,False,False,6.0,Pink,-,-,Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,Medium
Bixa orellana L.,Anatto,1727,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1727,"Shrub, Tree",Full Sun,Moderate Water,False,False,False,False,10.0,"Pink, Cream / Off-White",-,Bee-Attracting,Terrestrial,Green,Green,4.5 (Shrub & Groundcover - Dicot),Moderate,"Light to dark brown, smooth but sometimes fissured.","Light to dark brown, smooth but sometimes fissured.",Medium
Blechnopsis orientalis (L.) C.Presl,Centipede Fern,5542,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5542,Herbaceous Plant,"Full Sun, Semi Shade","Little Water, Moderate Water",False,True,False,False,0.6,-,-,-,"Terrestrial (Primary Rainforest, Secondary Rainforest)",Green,"Orange, Red",-,Moderate,None,None,Coarse
Blighia sapida K. D. Koenig,Akee,2752,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2752,Tree,Full Sun,Moderate Water,False,False,True,True,18.0,"Green, White",Toxic Upon Ingestion,-,-,Green,-,3.0 (Tree - Intermediate Canopy),Moderate,Smooth,Gray,None
Blyxa japonica (Miq.) Maxim. ex Asch. & Gürke,-,5824,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5824,-,Full Sun,Lots of Water,False,False,False,False,-,-,-,-,Aquatic,-,-,-,-,None,None,None
Boehmeria biloba Wedd.,-,5979,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5979,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,-,White,-,-,Terrestrial,Green,Green,-,-,None,None,-
Boehmeria nivea (L.) Gaudich.,Chinese Grass,5847,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5847,Shrub,Full Sun,Moderate Water,False,False,False,False,1.5,Greenish-White,-,-,Terrestrial,Green,-,-,-,None,None,Fine
Boesenbergia rotunda (L.) Mansf.,Fingerroot,4849,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4849,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,False,False,True,False,0.5,"Pink, Purple",-,-,Terrestrial,Green,-,-,-,None,None,Coarse
Bolbitis heteroclita (C. Presl) Ching (Difformis Group),Bolbitis Mini,4042,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4042,-,Semi Shade,"Moderate Water, Occasional Misting",False,False,False,False,0.07,-,-,-,Terrestrial,Green,-,-,Fast to Moderate,None,None,None
Bombax anceps Pierre,-,8759,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8759,Tree,Full Sun,Moderate Water,False,False,False,False,12.1,-,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Bombax ceiba,-,3622,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3622,Tree,Full Sun,-,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Bombax ceiba var. leiocarpum,-,3621,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3621,Tree,Full Sun,Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,Moderate,-,-,None
Borago officinalis L.,Borage,7011,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7011,Herbaceous Plant,"Full Sun, Semi Shade",Moderate Water,False,False,True,False,0.9,Blue,-,-,Terrestrial,Green,-,-,-,None,None,Coarse
Borassodendron machadonis,Cangkai,2601,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2601,Palm,Full Sun,Moderate Water,False,False,False,False,15.0,Cream / Off-White,-,-,-,Green,-,4.0 (Palm - Cluster),Moderate,-,-,None
Borassus flabellifer,Palmyra Palm,2602,https://www.nparks.gov.sg/florafaunaweb/flora/2/6/2602,Palm,Full Sun,Moderate Water,True,False,True,False,-,Cream / Off-White,-,-,-,"Green, Silver / Grey",-,2.5 (Palm - Solitary),Moderate,-,black,None
Bothriochloa bladhii (Retz.) S. T. Blake,Purple Plume Grass,3469,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3469,Grass or Grass-like Plant,Full Sun,Moderate Water,True,False,False,True,1.5,"Red, White",-,-,"Terrestrial (Grassland / Savannah/ Scrubland, Disturbed Area / Open Ground)",Green,-,3.5 (Shrub & Groundcover - Monocot),Fast,None,None,None
Bouea macrophylla Griff.,Kundangan,2753,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2753,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,True,False,27.0,"Brown, Green, Green - Light Green, Yellow / Golden",-,Caterpillar Moth Food Plant (Leaves),"Terrestrial (Primary Rainforest, Secondary Rainforest)","Green, Purple","Cream / Off-White, Purple",3.0 (Tree - Intermediate Canopy),Moderate,Fissured,Dark grey,None
Bouea oppositifolia (Roxb.) Meisn.,Plum Mango,3623,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3623,Tree,"Full Sun, Semi Shade",Moderate Water,False,True,True,False,43.0,"White, Yellow / Golden",-,-,Terrestrial,Green,-,-,Moderate,Fissured,grey,None
Bougainvillea (Spectoperuviana Group) 'Mary Palmer',-,1354,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1354,"Climber, Shrub",Full Sun,"Little Water, Moderate Water",True,False,False,False,8,"Pink, White",Spines/Thorns - Stem/Branch,-,Terrestrial,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea (Spectoperuviana Group) 'Thimma',-,1338,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1338,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,0.5,"Red, White",-,-,-,"Green, Yellow / Golden",-,-,Fast to Moderate,None,None,Coarse
Bougainvillea × buttiana 'Enid Lancaster',Enid Lancaster Bougainvillea,1357,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1357,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,Orange,Spines/Thorns - Stem/Branch,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea × buttiana 'Mahara',-,1340,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1340,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,Red,Spines/Thorns - Stem/Branch,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea × buttiana 'Mrs McClean',-,1358,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1358,Climber,Full Sun,Little Water,True,False,False,False,-,"Orange, Pink",-,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea × buttiana 'Mrs McClean' (variegated cream-green leaves),-,1346,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1346,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,"Orange, Red",-,-,-,"Green, White",-,-,Fast to Moderate,None,None,-
Bougainvillea × buttiana 'Poultonii',-,1348,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1348,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,"Pink, Red",Spines/Thorns - Stem/Branch,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea × buttiana 'Rosenka',-,1349,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1349,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,8,"Pink, Orange",-,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea × glabra 'Peggy Redman',-,1329,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1329,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,White,-,-,-,"Green, Yellow / Golden",-,-,Fast to Moderate,None,None,-
Bougainvillea 'Aiskrim',-,1330,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1330,Climber,Full Sun,Little Water,False,False,False,False,-,"Pink, White",-,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea 'Apple Blossum',-,5966,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5966,"Climber, Shrub",Full Sun,"Little Water, Moderate Water",True,False,False,False,8,"White, Pink",Spines/Thorns - Stem/Branch,-,Terrestrial,Green,-,-,Moderate,None,None,-
Bougainvillea arborea Glaz.,Tree Bougainvillea,7059,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7059,"Shrub, Tree",Full Sun,Little Water,False,False,False,True,-,-,-,-,Terrestrial,Green,-,-,Moderate,-,-,Medium
Bougainvillea 'Changi Airport',-,8035,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8035,"Climber, Shrub",Full Sun,Moderate Water,False,False,False,False,-,Purple,Spines/Thorns - Stem/Branch,-,Terrestrial,"Cream / Off-White, Green, Yellow / Golden, Patterned","Green, Red, Patterned",-,Moderate,None,None,Coarse
Bougainvillea 'Chili Red',-,5961,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5961,"Climber, Shrub",Full Sun,"Little Water, Moderate Water",True,False,False,False,8,"Pink, Red",Spines/Thorns - Stem/Branch,-,Terrestrial,Green,-,-,-,None,None,-
Bougainvillea 'Elizabeth Angus',Purple Bougainvillea,1332,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1332,Climber,Full Sun,Little Water,False,False,False,False,0.5,Purple,Spines/Thorns - Stem/Branch,-,-,Green,-,-,Fast to Moderate,None,None,Medium
Bougainvillea 'Elizabeth Doxey',-,1331,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1331,Climber,Full Sun,Little Water,True,False,False,False,-,"Pink, White",-,-,-,Green,Green,-,Fast to Moderate,None,None,Coarse
Bougainvillea glabra (red bracts),-,1335,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1335,Climber,Full Sun,Little Water,True,False,False,False,0.5,Red,-,-,-,Green,-,-,Fast to Moderate,None,None,Medium
Bougainvillea glabra 'Alba',-,3634,https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3634,"Climber, Shrub",Full Sun,"Little Water, Moderate Water",True,False,False,False,8,White,-,-,Terrestrial,Green,-,-,-,None,None,-
Bougainvillea glabra Choisy in DC. 'Sanderiana',-,1336,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1336,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,Pink,-,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea glabra 'Doctor David Barry',粉红宝金花,1337,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1337,"Climber, Shrub",Full Sun,"Little Water, Moderate Water",True,False,False,False,8,Pink,Spines/Thorns - Stem/Branch,-,Terrestrial,Green,-,4.5 (Shrub & Groundcover - Dicot),Fast to Moderate,None,None,-
Bougainvillea glabra 'Formosa',-,1333,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1333,Climber,Full Sun,Little Water,False,False,False,False,-,Pink,-,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea glabra 'Magnifica',-,1334,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1334,Climber,Full Sun,Little Water,False,False,False,False,-,Purple,-,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea Holttum & Standl. × buttiana 'Scarlet Queen' (variegated cream-green leaves),-,1351,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1351,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,"Pink, Red",-,-,-,"Cream / Off-White, Green",-,-,Fast to Moderate,None,None,-
Bougainvillea 'John Lattin',-,1339,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1339,Climber,Full Sun,Little Water,False,False,False,False,0.5,"White, Pink",-,-,-,Green,-,-,Fast to Moderate,None,None,Medium
Bougainvillea 'Klong Fire',-,6683,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6683,"Climber, Shrub",Full Sun,"Little Water, Moderate Water",True,False,False,False,8,Pink,Spines/Thorns - Stem/Branch,-,Terrestrial,Green,-,-,-,None,None,-
Bougainvillea 'Los Banos Beauty',-,1341,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1341,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,"Pink, White",-,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea 'Louis Wathen',-,1342,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1342,"Climber, Shrub",Full Sun,Little Water,True,False,False,False,-,"Orange, Pink",-,-,-,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea 'Mrs Eva',-,1343,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1343,"Climber, Shrub",Full Sun,"Little Water, Moderate Water",True,False,False,False,8,Purple,Spines/Thorns - Stem/Branch,-,Terrestrial,Green,-,-,Fast to Moderate,None,None,-
Bougainvillea 'Mrs Eva Mauve Variegata',-,1345,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1345,Climber,Full Sun,Little Water,True,False,False,False,8.0,Purple,Spines/Thorns - Stem/Branch,-,Terrestrial,"Green, Yellow / Golden",-,-,Fast to Moderate,None,None,Medium
